week,Griep,Aziatische_griep,Azerbeidzjan,Pulmonologie,Afweer,Verkoudheid,Neuraminidase,Antigene_drift,Aids,Pandemrix
2018-42,-0.023245303923783982,-0.0580891330891331,-0.0352843808313654,0.03692499759915487,-0.1516570303335009,0.07055758359734417,0.025078247261345846,-0.13556791267634638,0.13891977852494355,-0.06627775076972939
2018-43,-0.02570905830642399,-0.03666056166056167,-0.03540125787671369,-0.14846826082781142,0.2503037539802246,0.0406302642300932,-0.18618935837245698,-0.29219441870044277,0.12302433521869133,-0.06627775076972939
2018-44,-2.915685659929666e-05,-0.0580891330891331,-0.02394730743258092,0.09872275040814364,0.20373512652924422,0.06927498419589055,-0.010133020344287957,-0.14761610544743073,0.20367899199485995,-0.06627775076972939
2018-45,0.025555984809277704,-0.08666056166056167,0.019530953436984296,-0.00801882262556423,0.1253037539802246,0.1962523249397982,-0.02421752738654148,-0.08737514159200903,0.171181641235411,-0.06627775076972939
2018-46,0.0006341616310345515,-0.015231990231990242,-0.01483089789541402,-0.06419859790646311,0.20128414613708734,0.040202731096275326,-0.010133020344287957,-0.015085984965503006,0.47260634393174916,-0.06093015718684168
2018-47,0.03313676752509311,-0.015231990231990242,-0.02780424992907461,0.003217132430615545,-0.05116683425506951,0.1346875536700248,0.2645148669796557,-0.1717124909895994,0.44116868939271703,-0.06627775076972939
2018-48,0.006983067155529956,-0.09023199023199024,-0.043348896960397655,-0.0024008450974743424,-0.09528448131389304,0.14879614708601455,-0.15097809076682317,-0.19580887653176807,0.7500112656319728,-0.06627775076972939
2018-49,0.08184329647420711,-0.07237484737484738,-0.01775282402912136,-0.019254777681744006,0.3924606167253226,0.2154913159616024,-0.1298513302034429,-0.2680980331582741,0.457652852821423,-0.06093015718684168
2018-50,0.09548870536267484,-0.06523199023199024,-0.03271308583370294,-0.18779410352444065,-0.053617814647226376,0.16632500557254723,0.018035993740219084,-0.0753269488209247,0.3386136440612676,-0.06627775076972939
2018-51,0.11235594690536413,-0.09023199023199024,-0.022544782888401397,-0.2495918563334294,-0.3624413440589911,0.11331089697913124,-0.12280907668231612,-0.2680980331582741,0.11384030130841229,-0.06627775076972939
2018-52,0.1395520048983519,-0.11166056166056167,-0.08928157578227704,-0.10914241813118221,-0.4212648734707558,0.0406302642300932,-0.10872456964006261,-0.2680980331582741,-0.09774571070147822,-0.06627775076972939
2019-01,0.7766220323786893,0.30619658119658116,-0.024999200840715562,0.2560261211946605,0.16206845986257754,0.398903030369469,0.0,0.18973329214293072,0.0,0.0
2019-02,0.7179657261150675,0.18476800976800975,-0.0012731606350119631,-0.06419859790646311,0.171872381431205,0.2787662197666473,0.0,0.04515497888991868,0.0,0.0
2019-03,0.5365007398552362,0.18833943833943834,-0.0018575458617534311,-0.0024008450974743424,0.18167630299983245,0.17316553571363316,0.0,0.18973329214293072,0.0,0.0
2019-04,0.334662400046651,0.13476800976800976,-0.006883258811730055,0.003217132430615545,0.03461747947042069,0.19112192733398375,0.0,0.5270826897332922,0.0,0.0
2019-05,0.3009279169612724,0.1061965811965812,-0.011324586534965212,0.03692499759915487,0.171872381431205,0.21335365029251305,0.0,-0.1114715271341777,0.0,0.0
2019-06,0.20503101560620748,0.049053724053724046,0.0011812573173022023,0.2054643234418515,0.00030375398022460654,0.17487566824890466,0.0,-0.015085984965503006,0.0,0.0
2019-07,0.11102930993009642,-0.0009462759462759556,-0.0074676440384715236,0.22231825602612115,0.01991159711747951,0.21848404789832748,-0.1298513302034429,-0.21990526207393674,0.0,0.0
2019-08,0.0563529145922778,-0.05094627594627595,-0.018570963346559416,0.30658791894746945,-0.07077467739232442,0.10005736983077725,-0.12280907668231612,-0.09942333436309336,0.0,0.0
2019-09,0.039769952401431594,-0.025946275946275955,-0.03727129060228639,0.09872275040814364,-0.011951147980559707,0.13810781874056777,0.20113458528951486,-0.05123056327875602,0.17895274685180096,0.0
2019-10,0.005940709532105337,-0.033089133089133096,-0.03259620878835465,0.003217132430615545,0.046872381431205,0.15862940916382556,0.018035993740219084,-0.18376068376068372,0.11713713399415349,0.0
2019-11,0.00044464206313916634,-0.004517704517704527,-0.017402192893076478,0.16613848074522228,0.07383316574493048,0.1667525387063651,0.03916275430359937,-0.0753269488209247,0.2155711384684264,0.0
2019-12,-0.04437673574411943,-0.09023199023199024,-0.015298406076807195,0.04816095265533465,0.08363708731355794,0.12228909278930654,0.03916275430359937,0.033106786118834344,0.2543089225258855,0.0
2019-13,-0.06067541858312256,-0.07237484737484738,0.3845379660597052,0.008835109958705433,0.07628414613708735,0.08252851134424455,0.12366979655712049,-0.0753269488209247,0.16529444001087312,0.0
2019-14,-0.08209112975530108,-0.11523199023199024,-0.0032600704059329542,0.03692499759915487,0.015009636333165783,0.026094137680285588,0.0039514866979655635,0.45479353310678616,0.09688516178174326,0.0
2019-15,-0.11099286385934733,-0.043803418803418814,-0.025934217203501912,-0.04734466532219345,0.11304885201944029,-0.011956311229504921,0.03916275430359937,-0.08737514159200903,0.07569123737340698,0.0
