week,Oseltamivir,Febbre,Tosse_post-virale,Bronchite,week,Sclerosi_multipla,Influenzavirus_A_sottotipo_H1N1,Sequenziamento_del_DNA,Subsalicilato_di_bismuto,Vaccino_influenza_stagionale
2018-42,-0.03068357512591854,-0.11529739939063186,-0.1959936615109029,-0.17709156864372355,0.3431372549019608,0.022892377234725626,-0.04770929546777123,-0.2651736268627334,-0.1716121716121716,-0.023728650036927867
2018-43,-0.03313065698080659,-0.1678428911101166,-0.1959936615109029,-0.19614216202286158,0.3627450980392157,-0.03559913964751862,-0.04770929546777123,-0.3104612645616318,-0.22566622566622566,-0.023728650036927867
2018-44,-0.029827096476707726,-0.14402363124505835,-0.1959936615109029,-0.17912154990543497,0.38235294117647056,-0.007109302590572541,-0.04770929546777123,-0.31352124008182763,-0.2556962556962557,-0.023728650036927867
2018-45,-0.03251888651708457,-0.1368676304272297,-0.1959936615109029,-0.188646846595004,0.4019607843137255,0.011402372195249734,-0.04770929546777123,-0.2847574701919868,-0.24668724668724668,-0.023728650036927867
2018-46,-0.030438866940429736,-0.12132888579423029,-0.1959936615109029,-0.19036452304722135,0.4215686274509804,0.011301582677359595,-0.04770929546777123,-0.30005734779296594,-0.23467523467523468,-0.023728650036927867
2018-47,-0.02897061782749691,-0.10078094058875084,-0.1959936615109029,-0.1802146167386642,0.4411764705882353,0.06347695643848844,-0.04770929546777123,-0.2841454750879476,-0.23767823767823767,-0.023728650036927867
2018-48,-0.028848263734752508,-0.09464722560204056,-0.1959936615109029,-0.17271930131080662,0.46078431372549017,-0.0009611419992740361,-0.04770929546777123,-0.30801328414547513,-0.21365421365421366,-0.023728650036927867
2018-49,-0.02958238829121892,-0.10159876925364554,-0.1959936615109029,-0.17396852054878287,0.4803921568627451,0.002532894620917464,-0.04770929546777123,-0.28108549956775175,-0.19263319263319265,-0.023728650036927867
2018-50,-0.02701295234358647,-0.0797218524677122,-0.1959936615109029,-0.16132017576427318,0.5,-0.016751499802062544,-0.04770929546777123,-0.2914894163364176,-0.2406812406812407,-0.023728650036927867
2018-51,-0.026523535972608862,-0.06612545091383773,-0.1959936615109029,-0.16694166233516639,0.5196078431372549,-0.01235035752085979,-0.04770929546777123,-0.3012813380010443,-0.22266322266322267,-0.023728650036927867
2018-52,-0.02958238829121892,-0.0789040238028175,-0.1959936615109029,-0.17709156864372355,0.5392156862745098,-0.08233187944257993,-0.04770929546777123,-0.3575848875726477,-0.24668724668724668,-0.023728650036927867
2019-01,0.0,-0.1665139195296627,-0.1959936615109029,-0.18286920761936376,-0.46078431372549017,-0.1334993580248074,-0.04770929546777123,-0.3655408239251569,-0.2677082677082677,-0.023728650036927867
2019-02,0.0,0.0714742219546963,-0.1959936615109029,-0.06403722760687157,-0.4411764705882353,-0.014735709444259757,-0.04770929546777123,-0.25415771499002837,-0.22566622566622566,-0.023728650036927867
2019-03,0.0,0.09089765274594554,-0.1959936615109029,-0.08605471667620324,-0.4215686274509804,0.0015585959479794496,-0.04770929546777123,-0.19601818010630745,-0.18062118062118063,-0.023728650036927867
2019-04,0.0,0.11573919844212219,-0.1959936615109029,-0.08995852679487906,-0.4019607843137255,0.03397922420264096,-0.04770929546777123,-0.20458611156285578,-0.1535941535941536,-0.023728650036927867
2019-05,0.0,0.10950325487230007,-0.1959936615109029,-0.08183860174803334,-0.38235294117647056,0.035961418054480374,-0.04770929546777123,-0.19051022416995492,-0.18062118062118063,-0.023728650036927867
2019-06,0.0,0.1251442280884113,-0.1959936615109029,-0.10588607207907644,-0.3627450980392157,0.032635363964105775,-0.04770929546777123,-0.17704633188109323,-0.21065121065121065,-0.023728650036927867
2019-07,0.0,0.048166105005197225,-0.1959936615109029,-0.14258188719462922,-0.3431372549019608,0.03925387563889159,-0.04770929546777123,-0.18071830250532825,-0.20764820764820766,-0.023728650036927867
2019-08,0.0,0.043872504514500026,-0.1959936615109029,-0.13555502898101274,-0.3235294117647059,0.02067500784114256,-0.04770929546777123,-0.1697023906326232,-0.21665721665721666,-0.023728650036927867
2019-09,0.0,0.056242163071032435,-0.1959936615109029,-0.1458610876943169,-0.30392156862745096,0.04876168682652808,-0.04770929546777123,-0.2027501262507383,-0.23467523467523468,-0.023728650036927867
2019-10,0.0,0.044076961680723704,-0.1959936615109029,-0.09417464172304896,-0.28431372549019607,0.14871129206758302,-0.04770929546777123,-0.2743535534233209,-0.15059115059115058,-0.023728650036927867
2019-11,0.0,0.003798899934659503,-0.1959936615109029,-0.10385609081736501,-0.2647058823529412,0.06723976510638698,-0.04770929546777123,-0.25660569540618505,-0.20164220164220165,-0.023728650036927867
2019-12,0.0,0.012897243831613092,-0.1959936615109029,-0.16678550993041935,-0.24509803921568626,0.058135111990311045,-0.04770929546777123,-0.27557754363139925,-0.18062118062118063,-0.023728650036927867
2019-13,0.0,0.01923541598454705,-0.1959936615109029,-0.1627255474069965,-0.22549019607843138,0.060117305842150456,-0.04770929546777123,-0.24130581780520585,-0.1686091686091686,-0.023728650036927867
2019-14,0.0,-0.0030504151338336476,-0.1959936615109029,-0.15491792716964484,-0.20588235294117646,0.03935466515678174,-0.04770929546777123,-0.22049798426787415,-0.19263319263319265,-0.023728650036927867
2019-15,0.0,-0.09280711110602748,-0.1959936615109029,-0.18271305521461673,-0.18627450980392157,-0.010972900776361219,-0.04770929546777123,-0.3098492694575926,-0.21065121065121065,-0.023728650036927867
