week,Koorts,week,Griep,Mexicaanse_griep,Spaanse_griep,Virulentie,Azerbeidzjan,Pandemrix,Aziatische_griep,Virologie
2018-42,-0.26333198105059286,0.3431372549019608,-0.22553028366981856,-0.12731876701582762,-0.1093711918108701,0.194154715341156,-0.05986367412468615,-0.0137104743083004,-0.12132554945054945,-0.0387573964497041
2018-43,-0.30212068469128694,0.3627450980392157,-0.24853053922821364,-0.14411540768769324,-0.11692663904460152,-0.026184267709691452,-0.06617358797009326,-0.008275691699604747,-0.09989697802197803,-0.16952662721893486
2018-44,-0.24904140602507396,0.38235294117647056,-0.24929721441349348,-0.15011420792764527,-0.12375091396539117,0.002064319860930018,-0.07624518122333923,-0.0137104743083004,-0.12132554945054945,-0.06952662721893486
2018-45,-0.2844275918025493,0.4019607843137255,-0.24648607206746742,-0.14051612754372203,-0.12253229344382159,0.6969795740982182,-0.05476720524954964,-0.06805830039525693,-0.07489697802197802,0.12278106508875744
2018-46,-0.27558104535818045,0.4215686274509804,-0.262586250958344,-0.13451732730377003,-0.10303436509870827,0.10375923511516731,-0.07563845873820393,-0.08979743083003953,-0.13203983516483517,-0.023372781065088714
2018-47,-0.26231122569162724,0.4411764705882353,-0.23166368515205724,-0.14111600756771725,-0.11790153546185718,-0.009235115167318569,-0.015815621703863435,-0.030014822134387355,-0.1141826923076923,-0.09260355029585794
2018-48,-0.2640124846232366,0.46078431372549017,-0.23038589317659086,-0.016340962576715443,-0.11253960516695101,-0.048783137766188624,-0.06350400903549795,0.3830286561264822,-0.14632554945054946,0.007396449704142054
2018-49,-0.2388338524354176,0.4803921568627451,-0.23243036033733708,-0.1159210465599188,-0.1079088471849866,0.019013472403302898,-0.044816956493330735,0.41020256916996045,-0.14989697802197802,0.19970414201183437
2018-50,-0.2469998953071427,0.5,-0.20738563761819576,-0.113521526463938,-0.11546429441871801,0.22805302042590178,-0.04202603306170836,0.013463438735177862,-0.12489697802197802,0.19201183431952668
2018-51,-0.26979676499070854,0.5196078431372549,-0.26054178379759774,-0.13511720732776522,-0.1181452595661711,-0.048783137766188624,-0.08291912855982751,-0.030014822134387355,-0.09989697802197803,-0.1541420118343195
2018-52,-0.32525780616117467,0.5392156862745098,-0.29785330948121647,-0.12251972682386601,-0.1415427735803071,-0.22392438070404172,-0.054645860752522576,0.8993330039525691,-0.1677541208791209,-0.2387573964497041
2019-01,-0.18099104876069833,-0.46078431372549017,-0.18898543317147967,-0.10092404596003877,-0.11083353643675359,0.04726205997392437,-0.05792216217225319,0.0,-0.07489697802197802,-0.054142011834319485
2019-02,-0.173505509461617,-0.4411764705882353,-0.17825198057756197,-0.0505341239444419,-0.10717767487204484,-0.009235115167318569,-0.0678724109284721,0.0,-0.09275412087912088,-0.01568047337278102
2019-03,-0.12008597900908213,-0.4215686274509804,-0.0946843853820598,0.2554046882931106,-0.07646843772849135,0.007714037375054312,0.06208754538750897,0.0,-0.0534684065934066,0.04585798816568051
2019-04,-0.10341364147931009,-0.4019607843137255,-0.008050089445438283,0.15522472428591202,-0.0728125761637826,-0.09963059539330726,-0.07575980323523099,0.0,-0.017754120879120882,0.2612426035502959
2019-05,-0.0690482110608004,-0.38235294117647056,-0.03871709685663174,0.3051947302847123,-0.049658786253960516,0.09245980008691872,-0.07563845873820393,0.0,-0.03561126373626374,0.284319526627219
2019-06,-0.11634320935954147,-0.3627450980392157,0.00038333759263991824,0.16002376447787364,-0.07793078235437485,0.03596262494567578,-0.08049223861928632,0.0,0.017960164835164834,0.45355029585798823
2019-07,-0.05475763603528152,-0.3431372549019608,-0.0039611551239458215,0.09163744174242074,-0.0903607116743846,0.052911777488048664,-0.06447476501171442,0.0,-0.07846840659340659,0.21508875739644975
2019-08,-0.060882168189075325,-0.3235294117647059,-0.02619473549706108,0.013053158599049404,-0.08134291981476968,0.22805302042590178,-0.06896451140171564,0.0,-0.04632554945054945,0.1766272189349113
2019-09,-0.06836770748815664,-0.30392156862745096,-0.03565039611551239,0.03164943934290063,-0.09206678040458201,0.14895697522816165,-0.07563845873820393,0.0,0.0036744505494505477,0.07662721893491128
2019-10,-0.10205263433402259,-0.28431372549019607,-0.08931765908510095,0.04064763970282865,-0.1049841579332196,-0.11657974793568016,-0.07369694678577098,0.0,-0.07489697802197802,0.053550295857988206
2019-11,-0.1530904022823043,-0.2647058823529412,-0.134295936621518,-0.00014420192884501598,-0.10522788203753351,0.007714037375054312,-0.05270434880008962,0.0,-0.08561126373626374,0.06893491124260359
2019-12,-0.2483609024524302,-0.24509803921568626,-0.1841298236647074,-0.09612500576807717,-0.12716305142578602,0.15460669274228594,-0.0709060233541486,0.0,-0.07489697802197802,-0.0002958579881656384
2019-13,-0.24291687387128016,-0.22549019607843138,-0.22604140046000512,-0.07452932490424993,-0.11741408725322934,-0.06573229030856151,0.10164585141833048,0.0,-0.15703983516483516,-0.09260355029585794
2019-14,-0.23679234171748634,-0.20588235294117646,-0.23524150268336314,-0.12251972682386601,-0.12253229344382159,-0.0713820078226858,0.10358736337076344,0.0,-0.14989697802197802,0.1535502958579882
2019-15,-0.2980376632554244,-0.18627450980392157,-0.278175313059034,-0.06853052466429793,-0.13106263709480867,0.08116036505867014,-0.06872182240766152,0.0,-0.07846840659340659,-0.24644970414201178
