week,Griep,Mexicaanse_griep,Mononegavirales,Aziatische_griep,Cytokinestorm,Flavivirus,Salkvaccin,Tabaksringvlekvirus,Lipothrixviridae,Human_parvovirus_B19
2018-42,-0.179447963800905,-0.1142083576936997,-0.010654850138244971,-0.10460669274228596,-0.036954627863718774,-0.01278286743403023,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2018-43,-0.179447963800905,-0.1142083576936997,-0.01926493623910598,-0.10460669274228596,-0.036954627863718774,-0.03313170464333256,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2018-44,-0.179447963800905,-0.1142083576936997,-0.015574899338736976,-0.10460669274228596,-0.036954627863718774,0.005627985279148064,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2018-45,-0.179447963800905,-0.1142083576936997,-0.02049494853922898,-0.10460669274228596,-0.036954627863718774,-0.02828674340302248,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2018-46,-0.179447963800905,-0.1142083576936997,-0.015574899338736976,-0.10460669274228596,-0.036954627863718774,-0.017627828674340307,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2018-47,-0.179447963800905,-0.1142083576936997,-0.01803492393898298,-0.10460669274228596,-0.036954627863718774,-0.003092944953410075,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2018-48,-0.179447963800905,-0.1142083576936997,-0.011884862438367973,-0.10460669274228596,-0.036954627863718774,-0.02150379766658837,-0.04726912653741922,-0.11452991452991453,-0.17333333333333334,-0.07509157509157509
2018-49,-0.179447963800905,-0.1142083576936997,-0.016804911638859978,-0.10460669274228596,-0.036954627863718774,-0.016658836426278294,-0.04726912653741922,-0.11452991452991453,-0.17333333333333334,-0.07509157509157509
2018-50,-0.179447963800905,-0.1142083576936997,-0.00819482553799897,-0.10460669274228596,-0.036954627863718774,0.027914806984574422,-0.04726912653741922,-0.11452991452991453,-0.17333333333333334,-0.07509157509157509
2018-51,-0.179447963800905,-0.1142083576936997,0.027475531165568067,-0.10460669274228596,-0.036954627863718774,-0.015689844178216276,-0.04726912653741922,-0.11452991452991453,-0.17333333333333334,-0.07509157509157509
2018-52,-0.179447963800905,-0.1142083576936997,0.08159607237098013,-0.10460669274228596,-0.036954627863718774,-0.031193720147208524,-0.04726912653741922,-0.11452991452991453,-0.17333333333333334,-0.07509157509157509
2019-01,-0.179447963800905,-0.1142083576936997,0.013945395864215053,-0.10460669274228596,-0.036954627863718774,0.0,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-02,-0.179447963800905,-0.1142083576936997,0.053305789468151094,-0.10460669274228596,-0.036954627863718774,0.0,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-03,-0.179447963800905,-0.1142083576936997,0.011485371263969051,-0.10460669274228596,-0.036954627863718774,0.0,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-04,-0.179447963800905,-0.1142083576936997,-0.0069648132378759674,-0.10460669274228596,-0.036954627863718774,0.0,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-05,-0.179447963800905,-0.1142083576936997,0.0028752851631080423,-0.10460669274228596,-0.036954627863718774,-0.011813875185968215,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-06,-0.179447963800905,-0.1142083576936997,0.013945395864215053,-0.10460669274228596,-0.036954627863718774,-0.01956581317046434,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-07,-0.179447963800905,-0.1142083576936997,-0.0069648132378759674,-0.10460669274228596,-0.036954627863718774,-0.005999921697596122,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-08,-0.179447963800905,-0.1142083576936997,0.011485371263969051,-0.10460669274228596,-0.036954627863718774,-0.00018596820922402846,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-09,-0.179447963800905,-0.1142083576936997,0.007795334363600047,-0.10460669274228596,-0.036954627863718774,-0.003092944953410075,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-10,-0.179447963800905,-0.1142083576936997,-0.002044764037383963,-0.10460669274228596,-0.036954627863718774,-0.022472789914650387,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-11,-0.179447963800905,-0.1142083576936997,-0.01803492393898298,-0.10460669274228596,-0.036954627863718774,-0.03700767363558062,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-12,-0.179447963800905,-0.1142083576936997,-0.0032747763375069643,-0.10460669274228596,-0.036954627863718774,-0.02150379766658837,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-13,-0.179447963800905,-0.1142083576936997,0.013945395864215053,-0.10460669274228596,-0.036954627863718774,-0.024410774410774418,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-14,-0.179447963800905,-0.1142083576936997,-0.013114874738490974,-0.10460669274228596,-0.036954627863718774,-0.011813875185968215,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
2019-15,-0.179447963800905,-0.1142083576936997,-0.00819482553799897,-0.10460669274228596,-0.036954627863718774,-0.005030929449534106,-0.04726912653741922,-0.11452991452991453,0.0,-0.07509157509157509
