week,Erkältung,Impfstoff,Bradykardie,Schüttelfrost,Rhinosinusitis,FSME-Impfstoff,Fieber,Modified-Vaccinia-Ankara-Virus,Remune,Bartholinitis
2018-42,-0.11732010138103102,-0.0447517410382132,-0.03420300349860854,-0.09256185998644866,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-43,-0.11771268932072951,-0.06066686040160842,-0.04813609027937744,-0.09301889837767352,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-44,-0.11763417173278981,-0.015574022205321954,-0.01777572217066496,-0.09256185998644866,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-45,-0.11755565414485011,-0.016458195503288354,-0.0313647821173408,-0.09279037918206108,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-46,-0.11732010138103102,-0.01999488869515396,-0.016055588000199662,-0.09233334079083622,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-47,-0.11724158379309133,-0.009384809119557145,-0.015711561166106603,-0.09256185998644866,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-48,-0.11771268932072951,-0.0020166983031704657,-0.023968205184340025,-0.09256185998644866,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-49,-0.11755565414485011,-0.013510951176733683,-0.04323370789355135,-0.09244760038864244,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-50,-0.11786972449660892,-0.002900871601136867,-0.03420300349860854,-0.09233334079083622,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-51,-0.11708454861721193,-0.07245583770782711,-0.042889681059458284,-0.09267611958425487,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2018-52,-0.11779120690866922,-0.1593995453411899,-0.09182749820919596,-0.09290463877986731,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.13016528925619836
2019-01,-0.11779120690866922,-0.1694201760514758,-0.12390800048837373,-0.09279037918206108,0.0,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-02,-0.11708454861721193,-0.01911071539718756,-0.004100655515465854,-0.09256185998644866,0.0,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-03,-0.11739861896897072,0.0360027535093848,0.011122531893152019,-0.09244760038864244,0.0,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-04,-0.11763417173278981,0.04219196659514961,0.018003068575013204,-0.09256185998644866,0.0,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-05,-0.11779120690866922,0.03276078475017466,0.01241263252100099,-0.09221908119303,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-06,-0.11755565414485011,0.05869653482385576,0.02402353817164174,-0.09290463877986731,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-07,-0.11724158379309133,0.0197929097133341,0.01077850505905896,-0.09233334079083622,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-08,-0.11794824208454861,0.00977227900304822,-0.0012624341341981149,-0.09301889837767352,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-09,-0.11802675967248831,-0.0034903204664478013,0.009402397722686723,-0.09313315797547973,-0.3780090521902829,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-10,-0.11802675967248831,0.02391905177051064,0.021357330207420533,-0.09313315797547973,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-11,-0.11802675967248831,0.02421377620316611,0.016024914278978113,-0.09313315797547973,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-12,-0.11802675967248831,0.012130074464291957,0.009402397722686723,-0.09313315797547973,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-13,-0.11802675967248831,-0.007027013658313407,0.01774504844944341,-0.09313315797547973,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-14,-0.11802675967248831,-0.03532055919323825,-0.025946359480375117,-0.09313315797547973,-0.3780090521902829,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
2019-15,-0.11802675967248831,-0.06597190018940684,-0.05338249949929659,-0.09313315797547973,-0.3796245610755818,-0.0895288921604711,0.0,-0.12122015915119363,0.0,0.0
