season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2010-2011,belgium,2011-02,2011-01,2094.30107050584,491.30855641510004,312213.4932201657,0.17954934484828994,0.38012684569782235
2011-2012,belgium,2012-08,2012-07,574.4528843173401,530.5706220533999,3955.315841882843,0.9266085127263938,1.1040113371797292e-11
2012-2013,belgium,2013-06,2013-06,1042.4892375099114,1018.0787068558,15021.161005276463,0.9530042683090533,6.021199458364587e-14
2013-2014,belgium,2014-06,2014-09,397.2251435834874,310.6314229084,14765.797535959804,0.7561723599242539,7.88352613392354e-06
2014-2015,belgium,2015-06,2015-06,391.63264924777104,979.3634137810001,61455.33989466044,0.7072815299197747,5.337841449114179e-05
2015-2016,belgium,2016-06,2016-09,349.6509298194891,733.5038050510001,31168.6835902133,0.7914457782163645,1.4739312323126136e-06
2016-2017,belgium,2017-06,2017-05,518.9224913920322,663.8996612386001,18301.10767500855,0.8112824167964447,4.959220784657582e-07
2017-2018,belgium,2018-09,2018-10,776.7424322002463,752.6331722288,20678.60728265172,0.8250901653716135,2.150112127847876e-07
2018-2019,belgium,2019-06,2019-07,388.4107313351695,760.71,21390.5809614671,0.7897814736623281,1.606458218466128e-06
