week,Griep,Aziatische_griep,Chordadieren,Koude_rillingen,Vaccinatie,Lichaamstemperatuur,B-cel,1950-1959,Afweer,Inenting
2018-42,-0.023245303923783982,-0.0580891330891331,-0.06747781588545917,-0.12468577174459528,0.25454205782074635,0.042722837081994515,-0.09974764544184583,0.02163580246913581,-0.1516570303335009,0.05688088283024993
2018-43,-0.02570905830642399,-0.03666056166056167,-0.014399259622189534,-0.09947568771098184,0.12339451683713977,0.05057717481851718,0.028547609391194592,0.034135802469135806,0.2503037539802246,0.0015011359948068925
2018-44,-2.915685659929666e-05,-0.0580891330891331,0.0981272796559421,-0.09947568771098184,0.22721965344916165,0.06842794240152325,0.005700509215447668,0.20496913580246914,0.20373512652924422,-0.009574813372281716
2018-45,0.025555984809277704,-0.08666056166056167,-0.06004681800860142,-0.09947568771098184,0.3583671944327682,0.033440437938831356,-0.004844306250281681,0.13135802469135804,0.1253037539802246,0.07428594612138917
2018-46,0.0006341616310345515,-0.015231990231990242,-0.02819968425063964,-0.08266896502190621,0.3201158283125496,0.08128049506128762,-0.008359244738858131,0.1869135802469136,0.20128414613708734,0.1913745537163259
2018-47,0.03313676752509311,-0.015231990231990242,-0.0918939517665632,-0.007038712921065867,0.40754752230162067,0.1508984886350113,-0.1050200531747105,0.1966358024691358,-0.05116683425506951,0.15181759169100942
2018-48,0.006983067155529956,-0.09023199023199024,-0.11949480102346342,-0.049055519643754944,0.10700107421418896,0.10627156967749612,-0.14368437654905145,-0.006141975308641968,-0.09528448131389304,-0.012739370334307032
2018-49,0.08184329647420711,-0.07237484737484738,-0.06535467363492839,-0.10787904905551965,0.1561814020830414,0.1994525764607878,-0.0066017754945699066,0.004969135802469143,0.3924606167253226,0.19612138915936386
2018-50,0.09548870536267484,-0.06523199023199024,-0.13223365452664812,-0.05745888098829276,0.019569380225117918,0.1876710698560038,-0.140169438060475,0.06330246913580248,-0.053617814647226376,-0.06970139565076273
2018-51,0.11235594690536413,-0.09023199023199024,-0.22140562904894112,-0.08266896502190621,-0.1607584886273411,0.07164108056646434,-0.3176738317335857,-0.19780864197530865,-0.3624413440589911,-0.26432164881531967
2018-52,0.1395520048983519,-0.11166056166056167,-0.4591975611083891,-0.09947568771098184,-0.23179673999346131,0.038438652862073056,-0.3088864855121446,-0.36864197530864196,-0.4212648734707558,-0.31811911716975005
2019-01,0.7766220323786893,0.30619658119658116,-0.006968261745331784,-0.023845435610141498,0.2927934239409649,0.48506485778888486,-0.013631652471722806,0.0,0.16206845986257754,-0.03963810451152222
2019-02,0.7179657261150675,0.18476800976800975,0.35396592084490175,-0.04065215829921713,0.35290271355845126,0.48684993454718545,0.06896940200982377,0.3424691358024691,0.171872381431205,0.09169100941252842
2019-03,0.5365007398552362,0.18833943833943834,0.23719309706570857,-0.04065215829921713,0.26547101956938024,0.45757467571105553,0.07424180974268844,0.18552469135802468,0.18167630299983245,0.04896949042518664
2019-04,0.334662400046651,0.13476800976800976,0.15120583591921175,-0.07426560367736838,0.29825790481528186,0.3804593597524693,0.023275201658329917,0.15635802469135804,0.03461747947042069,0.10118468029860436
2019-05,0.3009279169612724,0.1061965811965812,0.18836082530350048,-0.06586224233283057,0.4020830414273037,0.28692133761751754,-0.06459826055608132,0.24108024691358027,0.171872381431205,0.08536189548847778
2019-06,0.20503101560620748,0.049053724053724046,0.11829713103598456,-0.07426560367736838,0.3146513474382327,0.24515054147328333,0.003943039971159443,0.2744135802469136,0.00030375398022460654,0.18504543979227525
2019-07,0.11102930993009642,-0.0009462759462759556,0.013201589634710678,0.001364648423471948,0.22721965344916165,0.17124836367963822,-0.08568789148754002,0.21469135802469136,0.01991159711747951,0.12333657903278157
2019-08,0.0563529145922778,-0.05094627594627595,0.16075997604660028,-0.04065215829921713,0.15071692120872449,0.12019516839224086,-0.0628407913117931,0.32024691358024693,-0.07077467739232442,0.02839987017202208
2019-09,0.039769952401431594,-0.025946275946275955,0.031248298764222356,-0.09947568771098184,0.3474382326841343,0.061644650719980945,-0.13841196881618678,0.5258024691358025,-0.011951147980559707,0.08219733852645246
2019-10,0.005940709532105337,-0.033089133089133096,-0.0483695356306821,-0.05745888098829276,0.3419737518098174,0.08199452576460786,-0.06635572980036955,0.25496913580246916,0.046872381431205,0.04738721194417398
2019-11,0.00044464206313916634,-0.004517704517704527,0.16288311829713106,-0.06586224233283057,0.19989724907757694,0.11841009163394024,-0.19992339236627465,0.3480246913580247,0.07383316574493048,0.11542518662771828
2019-12,-0.04437673574411943,-0.09023199023199024,0.08326528390222661,-0.06586224233283057,0.40754752230162067,0.06021658931334046,-0.11732233788472808,0.26885802469135806,0.08363708731355794,0.03314670561506006
2019-13,-0.06067541858312256,-0.07237484737484738,0.09494256628014593,-0.07426560367736838,0.27093550044369713,0.05129120552183743,-0.08744536073182825,0.1730246913580247,0.07628414613708735,0.12491885751379424
2019-14,-0.08209112975530108,-0.11523199023199024,0.006832162883118322,-0.06586224233283057,0.35290271355845126,0.030584315125550387,-0.015389121716011032,0.16885802469135802,0.015009636333165783,-0.011157091853294374
2019-15,-0.11099286385934733,-0.043803418803418814,0.0004627361315259652,-0.049055519643754944,0.20536172995189386,-0.007259312150422481,0.08127168671984134,0.19108024691358025,0.11304885201944029,-0.03489126906848425
