week,Influenza-Schnelltest,Oseltamivir,Superinfektion,Süddeutsche_Zeitung,Influenza-A-Virus_H1N1,Sekundärinfektion,Bundesamt_für_Statistik,Antikörper,Robert-Koch-Institut,Kontraindikation
2018-42,-0.06434495119754084,-0.034754494813610357,-0.0804078373347895,-0.20153265498050504,-0.0568279266062279,-0.17063451254627726,-0.15832060659646865,-0.21815124949507078,0.0,-0.2896868089175782
2018-43,-0.06886022344189675,-0.04170183398270859,-0.13666308502580546,-0.2022872580592856,-0.0568279266062279,-0.17798745372274785,-0.18514052996811617,-0.2177109148407335,0.0,-0.30006531929608854
2018-44,-0.06886022344189675,-0.040381839540579924,-0.057737812145872626,-0.20304186113806616,-0.0568279266062279,-0.16695804195804195,-0.1813091123435951,-0.21837141682223943,0.0,-0.19872221795298722
2018-45,-0.05797044920550897,-0.03544922873052018,-0.019114806268458687,-0.20183449621201727,-0.0568279266062279,-0.17063451254627726,-0.1698148594700319,-0.22035292276675728,0.0,-0.20421672344749273
2018-46,-0.06354813844853686,-0.0330176600213358,0.0178289384838503,-0.1997216075914317,-0.0568279266062279,-0.17798745372274785,-0.13150068322482114,-0.21815124949507078,0.0,-0.1266831459139152
2018-47,-0.0616889087008609,-0.03162819218751615,-0.04346409258248052,-0.20047621067021226,-0.0568279266062279,-0.15960510078157136,-0.12766926560030006,-0.22035292276675728,0.0,-0.1627026819334512
2018-48,-0.06248572144986488,-0.031211351837370255,-0.019114806268458687,-0.20047621067021226,-0.0568279266062279,-0.16328157136980667,-0.1659834418455108,-0.21859158414940807,0.0,-0.21886873809950738
2018-49,-0.06062649170218892,-0.019400875249903256,0.045536747048082034,-0.2021363374435295,-0.0568279266062279,-0.17798745372274785,-0.14682635372290545,-0.22101342474826322,0.0,-0.21093223016299945
2018-50,-0.03884694322941336,-0.02572295389378265,0.00019669667024828282,-0.2010798931332367,-0.0568279266062279,-0.16695804195804195,-0.1698148594700319,-0.21925208613091404,0.0,-0.23168925092002018
2018-51,-0.015473769258629822,-0.027876629036203103,0.05645194436126424,-0.20183449621201727,-0.0568279266062279,-0.17063451254627726,-0.1813091123435951,-0.2227747633656124,0.0,-0.2957918150225843
2018-52,-0.03911254747908135,-0.040312366148888945,-0.009039239517828963,-0.20440014667987116,-0.0568279266062279,-0.17798745372274785,-0.1813091123435951,-0.2214537594026005,0.0,-0.46795298718375644
2019-01,-0.024238709497673646,0.0,-0.13666308502580546,0.0,-0.0568279266062279,-0.17798745372274785,-0.1813091123435951,0.0,0.0,-0.520456039686809
2019-02,-0.0215826670009937,0.0,0.27475589062490824,0.0,-0.0568279266062279,-0.17798745372274785,-0.1659834418455108,0.0,0.0,-0.1272936465244158
2019-03,0.006571383463813737,0.0,0.36795488306823315,0.0,-0.0568279266062279,-0.17431098313451254,-0.17747769471907401,0.0,0.0,-0.008246027476796746
2019-04,0.01692994920086553,0.0,0.2940673935636152,0.0,-0.0568279266062279,-0.17798745372274785,-0.15832060659646865,0.0,0.0,0.0466990274682582
2019-05,0.021710825694889434,0.0,0.3528415329422886,0.0,-0.0568279266062279,-0.17063451254627726,-0.17747769471907401,0.0,0.0,-0.0460970653278346
2019-06,0.015070719453189567,0.0,0.28483145737553794,0.0,-0.0568279266062279,-0.17431098313451254,-0.1698148594700319,0.0,0.0,-0.06868558791635719
2019-07,-0.00856805876726196,0.0,0.17483985368116348,0.0,-0.0568279266062279,-0.17063451254627726,-0.18897194759263725,0.0,0.0,-0.039992059222828495
2019-08,-0.042831006974433275,0.0,0.12530165049056735,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.09554761477838405
2019-09,-0.04814309196779317,0.0,0.12782054217822478,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.0870006062313755
2019-10,-0.05504880245916103,0.0,0.11186756148972771,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.04365506288583215
2019-11,-0.061954512950528895,0.0,0.03294228860979488,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.04914956838033765
2019-12,-0.06381374269820486,0.0,0.040498963672767174,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.0754010946318639
2019-13,-0.06461055544720884,0.0,0.02538561354682259,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.044876064106833376
2019-14,-0.06381374269820486,0.0,0.02034783017150773,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.14377716300793228
2019-15,-0.0717818701882447,0.0,-0.11483269039944105,0.0,-0.0568279266062279,-0.17798745372274785,-0.19663478284167937,0.0,0.0,-0.2616037808345501
