week,Febbre,Oseltamivir,Influenzavirus_A_sottotipo_H1N1,Polmonite,Antibiotico,Bronchite,Influenza_asiatica,Encyclopédie,Virus_respiratorio_sinciziale_umano,Colesterolo
2018-42,-0.11529739939063186,-0.03068357512591854,-0.04770929546777123,-0.15582016554496045,-0.0659665744555388,-0.17709156864372355,-0.020069869594228202,-0.1971503269316705,-0.26947358197358195,-0.05926588292659719
2018-43,-0.1678428911101166,-0.03313065698080659,-0.04770929546777123,-0.2542589059524757,-0.2066004171267329,-0.19614216202286158,-0.02324081222899326,-0.19963634309077555,-0.26947358197358195,-0.13228884211027064
2018-44,-0.14402363124505835,-0.029827096476707726,-0.04770929546777123,-0.2070241877730631,-0.1072795342744409,-0.17912154990543497,-0.01978160208197683,-0.1990148390509993,-0.26947358197358195,-0.10911707340278766
2018-45,-0.1368676304272297,-0.03251888651708457,-0.04770929546777123,-0.21655051748991944,-0.15340290722294117,-0.188646846595004,-0.019493334569725462,-0.20087935117032807,-0.26947358197358195,-0.04916809381095093
2018-46,-0.12132888579423029,-0.030438866940429736,-0.04770929546777123,-0.20054099116020258,-0.06624953993375046,-0.19036452304722135,-0.020646404618730938,-0.19963634309077555,-0.26947358197358195,-0.023445304695304668
2018-47,-0.10078094058875084,-0.02897061782749691,-0.04770929546777123,-0.18201757226631532,-0.15425180365757615,-0.1802146167386642,-0.018340264520719983,-0.19963634309077555,-0.26947358197358195,-0.01802438632795773
2018-48,-0.09464722560204056,-0.028848263734752508,-0.04770929546777123,-0.20014406075533356,-0.00937347881320717,-0.17271930131080662,-0.019493334569725462,-0.1990148390509993,-0.26947358197358195,-0.018236971361971336
2018-49,-0.10159876925364554,-0.02958238829121892,-0.04770929546777123,-0.16031871013347593,-0.10360098305768935,-0.17396852054878287,-0.015169321885954924,-0.19963634309077555,-0.26947358197358195,-0.026740372722515553
2018-50,-0.0797218524677122,-0.02701295234358647,-0.04770929546777123,-0.18294374321100967,-0.10982622357834582,-0.16132017576427318,-0.014304519349200816,-0.20150085521010433,-0.26947358197358195,-0.08530754959326385
2018-51,-0.06612545091383773,-0.026523535972608862,-0.04770929546777123,-0.19485165535708007,-0.11463663670794401,-0.16694166233516639,-0.016610659447211767,-0.2002578471305518,-0.26947358197358195,-0.12165959040959039
2018-52,-0.0789040238028175,-0.02958238829121892,-0.04770929546777123,-0.24976036136396018,-0.226408000601549,-0.17709156864372355,-0.023529079741244633,-0.20087935117032807,-0.26947358197358195,-0.2471910529946244
2019-01,-0.1665139195296627,0.0,-0.04770929546777123,-0.3010966937270192,-0.382887910052596,-0.18286920761936376,-0.019493334569725462,0.0,-0.26947358197358195,-0.34636197136197133
2019-02,0.0714742219546963,0.0,-0.04770929546777123,-0.09813294670399723,-0.3865664612693475,-0.06403722760687157,-0.013151449300195338,0.0,-0.26947358197358195,-0.09668084891299174
2019-03,0.09089765274594554,0.0,-0.04770929546777123,-0.0969421554893902,-0.32205033223708945,-0.08605471667620324,-0.010557041689933015,0.0,-0.26947358197358195,0.008123572855715739
2019-04,0.11573919844212219,0.0,-0.04770929546777123,-0.09667753521947751,-0.0537990588924375,-0.08995852679487906,-0.012863181787943968,0.0,-0.26947358197358195,0.07753258646115792
2019-05,0.10950325487230007,0.0,-0.04770929546777123,-0.038858006243557966,0.15106794733280302,-0.08183860174803334,-0.011421844226687123,0.0,-0.26947358197358195,0.0532978925836069
2019-06,0.1251442280884113,0.0,-0.04770929546777123,-0.0186145555952383,0.11315057325244082,-0.10588607207907644,-0.01228664676344123,0.0,-0.26947358197358195,0.06073836877408308
2019-07,0.048166105005197225,0.0,-0.04770929546777123,-0.07418481227690012,0.08711774925696827,-0.14258188719462922,-0.018628532032971355,0.0,-0.26947358197358195,0.08911847081489942
2019-08,0.043872504514500026,0.0,-0.04770929546777123,-0.0846373129384508,0.04269216917773794,-0.13555502898101274,-0.018916799545222723,0.0,-0.26947358197358195,0.057974763331906216
2019-09,0.056242163071032435,0.0,-0.04770929546777123,-0.06915702714855929,0.07976064682346516,-0.1458610876943169,-0.02410561476574737,0.0,-0.26947358197358195,0.07243054564483138
2019-10,0.044076961680723704,0.0,-0.04770929546777123,-0.10937930817528593,0.08343919804021671,-0.09417464172304896,-0.013151449300195338,0.0,-0.26947358197358195,0.07870180414823275
2019-11,0.003798899934659503,0.0,-0.04770929546777123,-0.11705329600275352,-0.027200303940541633,-0.10385609081736501,-0.02439388227799874,0.0,-0.26947358197358195,0.04989653203938921
2019-12,0.012897243831613092,0.0,-0.04770929546777123,-0.10858544736554791,0.0036429331845291074,-0.16678550993041935,-0.02093467213098231,0.0,-0.26947358197358195,0.08284721231149805
2019-13,0.01923541598454705,0.0,-0.04770929546777123,-0.10421921291198877,0.05825527047937914,-0.1627255474069965,-0.023817347253496,0.0,-0.26947358197358195,0.1154790150325865
2019-14,-0.0030504151338336476,0.0,-0.04770929546777123,-0.10302842169738173,-0.0003185835104341069,-0.15491792716964484,-0.022087742179987786,0.0,-0.26947358197358195,0.06977323271966132
2019-15,-0.09280711110602748,0.0,-0.04770929546777123,-0.17804826821762518,-0.11152401644761577,-0.18271305521461673,-0.019493334569725462,0.0,-0.26947358197358195,-0.07010771966129106
