week,Griep,Chirurgie,Afrika,Hongkonggriep,Influenzavirus_A,Immuniteit,Verkoudheid,Aziatische_griep,H7N7,Koude_rillingen
2018-42,-0.023245303923783982,0.338947163947164,0.09626364065783638,-0.0880015243072568,-0.17327117327117328,0.2707598212185368,0.07055758359734417,-0.0580891330891331,0.0,-0.12468577174459528
2018-43,-0.02570905830642399,0.2298562548562549,0.05253641525440068,-0.07844738417986827,-0.17327117327117328,0.328863796753705,0.0406302642300932,-0.03666056166056167,0.0,-0.09947568771098184
2018-44,-2.915685659929666e-05,0.44197746697746704,0.20323917423409874,0.007539876966628544,-0.17327117327117328,0.40225829216654907,0.06927498419589055,-0.0580891330891331,0.0,-0.09947568771098184
2018-45,0.025555984809277704,0.2995532245532246,0.1850194969826672,-0.07207795742827591,-0.17327117327117328,0.4695365796283228,0.1962523249397982,-0.08666056166056167,0.0,-0.09947568771098184
2018-46,0.0006341616310345515,0.3237956487956488,0.24358274529084004,-0.008383689912352348,-0.17327117327117328,0.6254998823806164,0.040202731096275326,-0.015231990231990242,0.0,-0.08266896502190621
2018-47,0.03313676752509311,0.3798562548562549,0.200506222646384,-0.008383689912352348,-0.17327117327117328,0.4695365796283228,0.1346875536700248,-0.015231990231990242,0.0,-0.007038712921065867
2018-48,0.006983067155529956,0.17228049728049732,0.05735161567085044,-0.06570853067668356,-0.17327117327117328,0.1362032462949894,0.14879614708601455,-0.09023199023199024,0.0,-0.049055519643754944
2018-49,0.08184329647420711,0.3525835275835276,0.18723188636319818,-0.04023082367031413,-0.16814296814296814,0.7447659374264879,0.2154913159616024,-0.07237484737484738,0.0,-0.10787904905551965
2018-50,0.09548870536267484,0.26621989121989126,0.08207832051207897,-0.02749197016712942,-0.17327117327117328,0.27687602916960713,0.16632500557254723,-0.06523199023199024,0.0,-0.05745888098829276
2018-51,0.11235594690536413,-0.035295260295260256,-0.04650054466230937,-0.1357722249441995,-0.17327117327117328,-0.12985179957657023,0.11331089697913124,-0.09023199023199024,-0.19206349206349208,-0.08266896502190621
2018-52,0.1395520048983519,-0.15196192696192692,-0.18145629687469875,-0.10710980456203388,-0.17327117327117328,-0.20324629498941427,0.0406302642300932,-0.11166056166056167,-0.19206349206349208,-0.09947568771098184
2019-01,0.7766220323786893,0.4101592851592852,0.0,0.408813762316947,0.0,0.34109621265584567,0.398903030369469,0.30619658119658116,0.0,-0.023845435610141498
2019-02,0.7179657261150675,0.48743201243201245,0.0,0.4056290489411508,0.0,0.34109621265584567,0.2787662197666473,0.18476800976800975,0.0,-0.04065215829921713
2019-03,0.5365007398552362,0.4995532245532246,0.45883521796132415,0.39925962218955846,0.0,0.4940014114326041,0.17316553571363316,0.18833943833943834,0.0,-0.04065215829921713
2019-04,0.334662400046651,0.3798562548562549,0.4490746765766287,0.1349284119984757,0.0,0.28605034109621263,0.19112192733398375,0.13476800976800976,0.0,-0.07426560367736838
2019-05,0.3009279169612724,0.3874320124320125,0.4298138749108296,0.01709401709401708,0.0,0.19430722183015758,0.21335365029251305,0.1061965811965812,0.0,-0.06586224233283057
2019-06,0.20503101560620748,0.30561383061383063,0.433197529257524,0.029832870597201792,0.0,0.2401787814631851,0.17487566824890466,0.049053724053724046,0.0,-0.07426560367736838
2019-07,0.11102930993009642,0.3101592851592852,0.3597982580446141,0.0011704502150361867,0.0,0.27381792519407194,0.21848404789832748,-0.0009462759462759556,0.0,0.001364648423471948
2019-08,0.0563529145922778,0.26470473970473973,0.6040720737655928,-0.0593391039250912,0.0,-0.0075276405551635076,0.10005736983077725,-0.05094627594627595,0.0,-0.04065215829921713
2019-09,0.039769952401431594,0.1480380730380731,0.3051392262903195,-0.05296967717349885,0.0,0.0689249588332157,0.13810781874056777,-0.025946275946275955,0.0,-0.09947568771098184
2019-10,0.005940709532105337,0.21621989121989127,0.20219804981973122,-0.04978496379770267,0.0,0.06586685485768053,0.15862940916382556,-0.033089133089133096,0.0,-0.05745888098829276
2019-11,0.00044464206313916634,0.36470473970473977,0.34444167293269323,-0.03704611029451795,0.0,0.31968948482709947,0.1667525387063651,-0.004517704517704527,0.0,-0.06586224233283057
2019-12,-0.04437673574411943,0.20258352758352763,0.22484250583222473,-0.1039250911862377,0.0,0.27687602916960713,0.12228909278930654,-0.09023199023199024,0.0,-0.06586224233283057
2019-13,-0.06067541858312256,0.3010683760683761,0.20284875257871093,-0.07844738417986827,0.0,0.16984239002587626,0.08252851134424455,-0.07237484737484738,0.0,-0.07426560367736838
2019-14,-0.08209112975530108,0.15864413364413368,0.12905905971041318,-0.09755566443464535,0.0,0.2982827569983533,0.026094137680285588,-0.11523199023199024,0.0,-0.06586224233283057
2019-15,-0.11099286385934733,0.1404623154623155,0.10238024659224555,-0.09437095105884917,0.0,0.13314514231945423,-0.011956311229504921,-0.043803418803418814,0.0,-0.049055519643754944
