week,Influenza-Schnelltest,Pathogen,Totenschein,Pferdeinfluenza,Neuraminidase-Hemmer,European_Influenza_Surveillance_Scheme,Spanische_Grippe,Asiatische_Grippe,Gliederschmerzen,Schweineinfluenza
2018-42,-0.13265128205128207,-0.00197351667939896,-0.29673399226471847,-0.11738201412114456,-0.17594537815126052,-0.015332640332640314,-0.20737638256343527,-0.23972715318869167,-0.12277678968430412,-0.23203486303806475
2018-43,-0.1323846153846154,0.002355487649605369,-0.1831399512963758,-0.09161711879103183,-0.12762605042016806,-0.12344074844074843,-0.20230156148340925,-0.21123712469866318,-0.0129502000889284,-0.2252757025969406
2018-44,-0.13211794871794874,-0.019289533995416275,-0.27438762354963464,-0.10933048433048434,-0.1486344537815126,-0.15046777546777546,-0.21180058555627845,-0.20269011615165464,-0.08231436193863938,-0.22385272145144078
2018-45,-0.12705128205128205,-0.08422459893048122,-0.2315570835123907,-0.1012789545398241,-0.15703781512605042,-0.0964137214137214,-0.21264638906961614,-0.1941431076046461,-0.08231436193863938,-0.21709356101031663
2018-46,-0.12785128205128207,-0.019289533995416275,-0.22224609654777247,-0.08517589495850367,-0.14653361344537816,-0.12344074844074843,-0.20067501626545217,-0.17420008766162615,-0.07653401511783013,-0.22634293845606546
2018-47,-0.1291846153846154,-0.006302521008403289,-0.2054863200114596,-0.10933048433048434,-0.13602941176470587,0.09277546777546779,-0.21271145087833443,-0.19984111330265178,-0.03607158737216539,-0.21922803272856634
2018-48,-0.1259846153846154,0.11490960020371792,-0.27066322876378734,-0.12382323795367274,-0.10031512605042017,0.011694386694386712,-0.22155985686402083,-0.23402914749068596,-0.11699644286349488,-0.2131803628601921
2018-49,-0.12465128205128206,0.03265851795263567,-0.30418278183641306,-0.11738201412114456,-0.12762605042016806,-0.17749480249480248,-0.20002439817826936,-0.26821718167872016,-0.041851934192974644,-0.21353610814656707
2018-50,-0.12465128205128206,-0.032276546982429266,-0.22969488611946706,-0.09161711879103183,-0.15283613445378152,-0.06938669438669437,-0.2106294729993494,-0.16850208196362043,-0.10543574922187637,-0.17440412664532196
2018-51,-0.12091794871794873,-0.10154061624649853,-0.15520699040252106,-0.11577170816301252,-0.15283613445378152,-0.0964137214137214,-0.20633539362394274,-0.21978413324567173,-0.04763228101378389,-0.21140163642831733
2018-52,-0.13451794871794873,-0.5863891010949833,-0.4885403237358544,-0.12865415582806888,-0.1948529411764706,-0.04235966735966734,-0.24647852960312297,-0.23972715318869167,-0.11121609604268562,-0.22883315546069014
2019-01,-0.11931794871794874,0.0,-0.09375447643604062,-0.11416140220488047,-0.07300420168067227,-0.06938669438669437,-0.19976415094339622,-0.19129410475564324,-0.030291240551356145,-0.18792244752757026
2019-02,-0.11931794871794874,0.0,0.038461538461538526,-0.08839650687476776,-0.0898109243697479,-0.12344074844074843,-0.19917859466493168,-0.07163598509752357,-0.06497332147621164,-0.15768409818569903
2019-03,-0.11265128205128207,0.0,0.18371293510958323,-0.09966864858169207,-0.01207983193277311,-0.015332640332640314,-0.19078562134027327,-0.20838812184966032,-0.018730546909737647,-0.10965848452508005
2019-04,-0.10251794871794873,0.0,-0.002506804182781771,-0.0900068128328998,-0.01838235294117647,0.11980249480249482,-0.19098080676642812,-0.1542570677186062,0.04485326811916408,-0.07372821060120953
2019-05,-0.09691794871794873,0.0,-0.04719954161294937,-0.08517589495850367,-0.003676470588235294,-0.12344074844074843,-0.18076610279765778,-0.21978413324567173,0.062194308581591834,-0.05309498399146211
2019-06,-0.0899846153846154,0.0,-0.11610084515112441,-0.06907283537718321,0.04884453781512605,0.09277546777546779,-0.1892241379310345,-0.1371630506245891,-0.030291240551356145,0.09347207399501957
2019-07,-0.08198461538461539,0.0,-0.06023492336341492,-0.038477022172674354,0.0005252100840336134,0.06574844074844077,-0.18187215354586858,-0.03459894806048654,0.02751222765673634,0.6391853432942014
2019-08,-0.0675846153846154,0.0,-0.17755335911760486,-0.044918246005202535,0.08665966386554622,0.011694386694386712,-0.1935832791151594,-0.06023997370151218,-0.03607158737216539,0.40332621842760585
2019-09,-0.0523846153846154,0.0,-0.05837272597049127,-0.007881208968165496,-0.01838235294117647,0.281964656964657,-0.1728936239427456,-0.09727701073854922,0.07375500222321033,0.3947883315546069
2019-10,-0.06331794871794873,0.30105678635090405,-0.09375447643604062,-0.03686671621454231,-0.04569327731092437,0.06574844074844077,-0.19351821730644111,-0.08873000219154066,0.09109604268563808,0.33110992529348987
2019-11,-0.0651846153846154,0.019671504965622685,-0.2985961896576421,-0.06424191750278707,-0.003676470588235294,-0.0964137214137214,-0.20757156798959012,-0.1428610563225948,0.02173188083592709,0.2051760939167556
2019-12,-0.08438461538461539,-0.14915966386554613,-0.24086807047700895,-0.0755140592097114,-0.003676470588235294,-0.06938669438669437,-0.2242273910214704,-0.23402914749068596,0.03907292129835484,0.058609035930273924
2019-13,-0.08891794871794872,-0.16647568118156347,-0.16824237215298662,-0.09161711879103183,-0.04569327731092437,0.11980249480249482,-0.18857351984385165,-0.020353933815472288,-0.07075366829702089,0.004180007114905728
2019-14,-0.10545128205128207,-0.26604278074866305,-0.27438762354963464,-0.08034497708410752,-0.12972689075630253,0.09277546777546779,-0.21557417046193883,-0.20269011615165464,-0.07653401511783013,-0.005780860903593027
2019-15,-0.1179846153846154,-0.18379169849758079,-0.22410829394069612,-0.08034497708410752,-0.12342436974789917,0.06574844074844077,-0.21453318152244633,-0.214086127547666,-0.07653401511783013,-0.06732479544646033
